SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
MIRZATAN,EQ,38.8,39.5,38.5,39.25,39.5,38.65,4911,191723.35,15-NOV-2003,
MONSANTO,EQ,1115,1125,1040,1114.45,1119.6,1072.7,2790,3072549.15,15-NOV-2003,
MOREPENLAB,EQ,9.55,10,9.55,9.9,10,9.55,214667,2107758.05,15-NOV-2003,
MORGANSTAN,EQ,14.65,14.95,14.65,14.75,14.75,14.8,266512,3941675.4,15-NOV-2003,
MOSERBAER,EQ,545,552.85,541,547.5,549.95,539.45,65736,35939925.9,15-NOV-2003,
MOTHERSUMI,EQ,215.95,216,209.5,210.5,212,211.5,1435,305509.5,15-NOV-2003,
MRF,EQ,1780,1789,1716,1764.7,1775,1726.9,424,742238.6,15-NOV-2003,
MRO-TEK,EQ,13.6,13.95,13.55,13.85,13.95,13.7,25822,356315,15-NOV-2003,
MRPL,EQ,43.85,46.35,42.9,45.6,46.3,43.95,1405322,62692532.55,15-NOV-2003,
MTAL,BE,9,9.4,9,9.4,9.4,9,3500,32125,15-NOV-2003,
MTNL,EQ,112.5,114.2,109,113.35,113.55,112.05,388866,43776153.4,15-NOV-2003,
MUKAND,EQ,20.4,22,20.35,21.5,22,20.05,15992,340173.75,15-NOV-2003,
MUKANDENGG,BE,8,8,8,8,8,8.6,200,1600,15-NOV-2003,
MUKTAARTS,EQ,58.25,61.1,58.1,60.85,60.35,58,56398,3388810.95,15-NOV-2003,
MUNJALAUTO,EQ,76,80,76,79.7,80,75.7,1675,131792.5,15-NOV-2003,
MUNJALSHOW,EQ,229,231,227.6,228.25,228.25,231.15,219,50099.5,15-NOV-2003,
MYSORECEM,EQ,9.7,10.45,9.4,10.15,10.3,9.6,48372,482245.75,15-NOV-2003,
NAGARCONST,EQ,111.8,114.75,110.1,113.2,111,109.65,25440,2875084.8,15-NOV-2003,
