SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BVCL,EQ,8.85,10.05,8.85,9.9,9.75,8.9,23288,218858.1,28-SEP-2012,133,INE139I01011,
CADILAHC,EQ,829,883.1,829,873.6,873,844.2,200719,175765931.4,28-SEP-2012,9459,INE010B01019,
CAIRN,EQ,330.9,335,329.6,331.05,331,326.3,6626009,2196217090.45,28-SEP-2012,99435,INE910H01017,
CALSOFT,EQ,14.25,14.25,14.2,14.2,14.2,14.25,992,14121.5,28-SEP-2012,3,INE526B01014,
CANBK,EQ,433,443.15,430.3,431.45,431.2,430.9,1243474,543718930,28-SEP-2012,43770,INE476A01014,
CANDC,EQ,60.9,60.9,57.4,58.2,58.6,58.35,5733,332644.3,28-SEP-2012,83,INE874H01015,
CANFINHOME,EQ,109.75,109.75,107.15,107.2,107.15,107.1,5823,627235.75,28-SEP-2012,293,INE477A01012,
CANTABIL,EQ,19,19.75,19,19.25,19.15,19.15,11219,218942.45,28-SEP-2012,107,INE068L01016,
CARBORUNIV,EQ,154,162.25,154,160.15,161.7,153.7,32338,5120062,28-SEP-2012,635,INE120A01034,
CAREERP,EQ,154.8,154.8,150.55,151.35,150.55,154.8,4632,708046.85,28-SEP-2012,122,INE521J01018,
CASTROL,EQ,312.8,318.85,309.2,311.25,311.55,310.35,253654,79551023.3,28-SEP-2012,7823,INE172A01019,
CCCL,EQ,15.25,15.25,14,14.15,14,14.55,42604,612461.75,28-SEP-2012,179,INE429I01024,
CCL,EQ,289.9,289.9,282.65,284.9,287,283.25,10192,2907591.45,28-SEP-2012,333,INE421D01014,
CEATLTD,EQ,113.2,115.4,112.2,113,113.3,112.75,110397,12576405.1,28-SEP-2012,1823,INE482A01020,
CEBBCO,EQ,97.7,98,95.9,96.45,97.4,96.7,122958,11866214.6,28-SEP-2012,949,INE209L01016,
CELEBRITY,EQ,4.9,4.9,4.8,4.85,4.8,5,260,1259.15,28-SEP-2012,8,INE185H01016,
CELESTIAL,EQ,16,16.4,15.45,16,15.95,16.1,23820,377574.4,28-SEP-2012,210,INE221I01017,
CENTENKA,EQ,118.9,119.5,117.7,118.9,119.25,118,6917,819516.7,28-SEP-2012,148,INE485A01015,
CENTEXT,EQ,2.1,2.3,2.1,2.2,2.2,2.2,45338,101409,28-SEP-2012,66,INE281A01026,
CENTRALBK,EQ,78.9,79.9,78.05,78.2,78.25,77.5,1095253,86352677.55,28-SEP-2012,8486,INE483A01010,
CENTUM,EQ,69.1,70,69.1,70,70,71.8,103,7135.3,28-SEP-2012,2,INE320B01020,
CENTURYPLY,EQ,58.2,62,58.2,60.2,62,58.7,16361,975000.2,28-SEP-2012,112,INE348B01021,
CENTURYTEX,EQ,359.7,368.15,357.35,359.2,359.65,357.55,919534,334048557.7,28-SEP-2012,13589,INE055A01016,
CERA,EQ,335,339.9,332.05,336,334.5,335.1,2866,962939.9,28-SEP-2012,153,INE739E01017,
CESC,EQ,323.65,334.2,321.2,331.65,333.35,322.95,702961,231592383.45,28-SEP-2012,13408,INE486A01013,
CHAMBLFERT,EQ,75.5,76.65,73.4,73.85,73.8,75.15,2343449,174544651.6,28-SEP-2012,15063,INE085A01013,
CHEMFALKAL,EQ,55,59.7,54.05,56.75,56.95,53.85,31869,1817729.1,28-SEP-2012,1054,INE479E01028,
CHENNPETRO,EQ,124,131,124,129,130.95,123,38758,4952356.15,28-SEP-2012,1180,INE178A01016,
CHESLINTEX,EQ,6.65,7.25,6.65,6.9,6.9,6.95,1308,9353,28-SEP-2012,20,INE217C01018,
CHETTINAD,EQ,810,830,795.05,816.5,813.3,797,2164,1763638.55,28-SEP-2012,279,INE132B01011,
CHOLAFIN,EQ,214.5,220.7,214.5,218,219,215.2,19207,4197340.6,28-SEP-2012,633,INE121A01016,
CHROMATIC,EQ,94.05,97,94,95.3,94,95.5,73714,7059558.95,28-SEP-2012,3307,INE662C01015,
CILNOVA,EQ,18,18,18,18,18,18,900,16200,28-SEP-2012,11,INE672K01017,
CIMMCO,EQ,50,50,50,50,50,49.25,193,9650,28-SEP-2012,6,INE184C01028,
CINEPRO,EQ,15.25,15.35,14.7,15.05,15.35,15,7239,108387.3,28-SEP-2012,52,INE704H01022,
CINEVISTA,EQ,3.05,3.1,3.05,3.1,3.1,3.1,675,2083.75,28-SEP-2012,7,INE039B01026,
CIPLA,EQ,369.6,382.1,365.1,380.1,380,371.45,3138518,1186009539.45,28-SEP-2012,45203,INE059A01026,
CLASSIC,BE,5.05,5.1,5.05,5.1,5.1,4.9,5840,29754,28-SEP-2012,34,INE987C01024,
CLNINDIA,EQ,615.65,629.65,615.65,626,626,619.3,5107,3174507.7,28-SEP-2012,247,INE492A01029,
CLUTCHAUTO,EQ,23,24.8,22.65,23.95,23.8,23.05,24003,571641.1,28-SEP-2012,219,INE779B01019,
CMAHENDRA,EQ,93.9,94.5,90.5,91.65,92.75,92.8,14444,1329735.15,28-SEP-2012,238,INE378J01013,
CMC,EQ,1122,1134.9,1085,1101.65,1104.95,1120.95,91731,103055450.2,28-SEP-2012,1153,INE314A01017,
COALINDIA,EQ,360,370,355.35,358.95,359.1,357.6,2636688,952571929.2,28-SEP-2012,58054,INE522F01014,
COLPAL,EQ,1200,1216.1,1198.45,1207,1205,1199.1,85042,103031943.8,28-SEP-2012,5804,INE259A01022,
COMPUAGE,EQ,59,60,58.9,60,60,61.95,1781,105585.9,28-SEP-2012,11,INE070C01029,
COMPUSOFT,EQ,11.2,11.6,11,11.25,11.1,11.2,121610,1397746,28-SEP-2012,29,INE453B01029,
CONCOR,EQ,945.35,969,945.3,955.75,969,953.05,67454,64276716.2,28-SEP-2012,1106,INE111A01017,
CONSOFINVT,EQ,41.55,42.9,41.5,41.85,41.85,41.45,2557,106730.9,28-SEP-2012,11,INE025A01027,
CORDSCABLE,EQ,23.65,25.35,23.65,25,25.25,23.75,7202,178283.75,28-SEP-2012,118,INE792I01017,
COREEDUTEC,EQ,331.2,334.9,322.45,328.9,325.75,329.95,329427,108547129.85,28-SEP-2012,1504,INE247G01024,
COROENGG,EQ,146.35,146.35,145.85,145.85,145.85,146.3,108,15788.05,28-SEP-2012,4,INE312J01012,
COROMANDEL,EQ,287,293,286.05,288,290,287.3,55271,15972365.85,28-SEP-2012,1695,INE169A01031,
COROMANDEL,N1,14.4,14.7,14.4,14.6,14.7,14.47,28651,417086.94,28-SEP-2012,34,INE169A08010,
CORPBANK,EQ,409.95,422,409.3,417.35,419.9,409.15,131288,54560287.05,28-SEP-2012,3218,INE112A01015,
COSMOFILMS,EQ,87.5,88.95,87.2,87.7,87.5,87.45,17795,1567941.4,28-SEP-2012,286,INE757A01017,
COUNCODOS,EQ,1.3,1.3,1.2,1.2,1.2,1.25,1140,1385.2,28-SEP-2012,9,INE695B01025,
COX&KINGS,EQ,143.35,144.15,138.25,138.85,138.65,142.3,203056,28564106.1,28-SEP-2012,3372,INE008I01026,
